datetime,v,vw,o,c,h,l,t,n
2023-10-20 10:00:00,6162.0,174.7809,174.93,174.72,174.93,174.7,1697796000000,161
2023-10-20 11:00:00,35087.0,174.9413,174.71,175.1,175.18,174.7,1697799600000,708
2023-10-20 12:00:00,94246.0,174.8241,174.77,174.68,175.2,174.49,1697803200000,3274
2023-10-20 13:00:00,9227394.0,175.2032,174.77,175.1016,175.8,174.42,1697806800000,88972
2023-10-20 14:00:00,9635478.0,174.1665,175.105,173.365,175.32,173.34,1697810400000,168980
2023-10-20 15:00:00,7903047.0,173.1997,173.36,173.64,173.68,172.64,1697814000000,86099
2023-10-20 16:00:00,5318444.0,173.8171,173.65,174.315,174.36,173.4,1697817600000,50366
2023-10-23 10:00:00,39797.0,170.4303,170.22,170.66,170.7,170.2,1698055200000,956
2023-10-23 11:00:00,132010.0,170.9702,170.6,170.81,171.32,170.6,1698058800000,2878
2023-10-23 12:00:00,287603.0,171.3873,171.04,170.8709,173.08,170.6,1698062400000,6283
2023-10-23 13:00:00,10288580.0,170.7741,170.85,171.3799,171.68,169.93,1698066000000,140128
2023-10-23 14:00:00,8678931.0,171.5929,171.37,172.21,172.23,171.09,1698069600000,194765
2023-10-23 15:00:00,5730629.0,172.5536,172.22,172.58,172.985,172.02,1698073200000,57145
2023-10-23 16:00:00,5361123.0,172.7592,172.6,173.6,173.62,172.28,1698076800000,48004
2023-10-24 10:00:00,8749.0,173.4801,173.78,173.42,173.78,173.31,1698141600000,238
2023-10-24 11:00:00,62463.0,173.4104,173.41,173.3,173.59,173.22,1698145200000,1047
2023-10-24 12:00:00,124841.0,173.2412,173.57,173.3,173.74,173.0099,1698148800000,3110
2023-10-24 13:00:00,6255852.0,172.6214,173.32,172.76,173.34,171.96,1698152400000,99016
2023-10-24 14:00:00,7416692.0,172.3944,172.755,172.53,172.89,171.81,1698156000000,159547
2023-10-24 15:00:00,4500762.0,172.4636,172.5302,172.7402,172.78,172.13,1698159600000,51190
2023-10-24 16:00:00,4411522.0,172.1196,172.76,171.76,173.02,171.45,1698163200000,50276
2023-10-25 10:00:00,5387.0,172.5963,172.51,172.79,172.79,172.41,1698228000000,143
2023-10-25 11:00:00,24640.0,172.7778,172.8,172.51,172.97,172.51,1698231600000,754
2023-10-25 12:00:00,126743.0,172.4888,172.83,172.05,173.19,172.02,1698235200000,3858
2023-10-25 13:00:00,5519912.0,171.4207,172.05,171.27,172.11,170.95,1698238800000,92473
