,v,vw,o,c,h,l,t,n
293,150,170.2898,170.2898,170.2898,170.2898,170.2898,2024-02-13,13:17:25,1
294,129,170.2500,170.2500,170.2500,170.2500,170.2500,2024-02-13,13:17:40,4
295,1200,170.2600,170.2600,170.2600,170.2600,170.2600,2024-02-13,13:17:50,1
296,772,170.2878,170.2900,170.3000,170.3000,170.2900,2024-02-13,13:17:55,20
297,200,170.2902,170.2902,170.2902,170.2902,170.2902,2024-02-13,13:18:05,1
298,1183,170.2997,170.2900,170.2900,170.2900,170.2900,2024-02-13,13:19:10,17
299,100,170.3500,170.3500,170.3500,170.3500,170.3500,2024-02-13,13:19:15,1
300,300,170.2900,170.2900,170.2900,170.2900,170.2900,2024-02-13,13:19:20,1
301,1200,170.3000,170.3000,170.3000,170.3000,170.3000,2024-02-13,13:20:20,1
302,150,170.3000,170.3000,170.3000,170.3000,170.3000,2024-02-13,13:21:15,1
303,100,170.3021,170.3021,170.3021,170.3021,170.3021,2024-02-13,13:21:35,1
304,2001,170.3500,170.3500,170.3500,170.3500,170.3500,2024-02-13,13:21:50,3
305,862,170.2969,170.3000,170.2900,170.3000,170.2900,2024-02-13,13:22:10,12
306,1101,170.2900,170.2900,170.2900,170.2900,170.2900,2024-02-13,13:22:20,4
307,175,170.2906,170.2906,170.2906,170.2906,170.2906,2024-02-13,13:22:25,1
308,143,170.3100,170.3100,170.3100,170.3100,170.3100,2024-02-13,13:23:05,1
309,553,170.3383,170.3200,170.3500,170.3500,170.3200,2024-02-13,13:23:10,16
310,899,170.3008,170.3000,170.3000,170.3000,170.3000,2024-02-13,13:23:25,9
311,490,170.3300,170.3300,170.3300,170.3300,170.3300,2024-02-13,13:23:40,9
312,3025,170.3204,170.3203,170.3203,170.3203,170.3203,2024-02-13,13:23:45,3
313,1936,170.3044,170.3299,170.3000,170.3299,170.3000,2024-02-13,13:23:55,10
